iter	Passed	Remaining
0	2	203
1	4	223
2	6	205
3	7	185
4	9	188
5	11	187
6	13	185
7	17	201
8	19	199
9	21	189
10	22	179
11	23	173
12	25	168
13	26	165
14	28	161
15	30	162
16	34	170
17	36	166
18	38	164
19	40	161
20	43	162
21	44	158
22	46	157
23	48	154
24	50	152
25	52	149
26	53	145
27	55	142
28	58	143
29	62	145
30	64	142
31	65	139
32	67	137
33	69	135
34	72	133
35	73	130
36	75	129
37	77	126
38	79	124
39	81	122
40	83	119
41	84	116
42	85	113
43	87	110
44	88	108
45	90	106
46	92	104
47	94	102
48	95	99
49	97	97
50	102	98
51	105	97
52	108	96
53	110	94
54	112	91
55	115	90
56	117	88
57	120	87
58	122	84
59	123	82
60	126	80
61	129	79
62	131	77
63	135	76
64	139	74
65	141	72
66	144	71
67	151	71
68	156	70
69	159	68
70	161	66
71	165	64
72	167	62
73	170	59
74	172	57
75	175	55
76	178	53
77	179	50
78	181	48
79	182	45
80	184	43
81	185	40
82	188	38
83	190	36
84	191	33
85	195	31
86	197	29
87	199	27
88	200	24
89	202	22
90	204	20
91	206	17
92	211	15
93	214	13
94	215	11
95	216	9
96	217	6
97	220	4
98	224	2
99	227	0
