iter	Passed	Remaining
0	149	149200
1	150	75107
2	151	50337
3	152	37946
4	153	30497
5	154	25627
6	155	22090
7	156	19464
8	157	17374
9	158	15701
10	159	14326
11	160	13176
12	160	12205
13	161	11376
14	162	10658
15	163	10026
16	163	9468
17	164	8970
18	165	8524
19	165	8128
20	166	7767
21	167	7445
22	168	7168
23	170	6925
24	171	6685
25	172	6452
26	173	6234
27	173	6036
28	174	5851
29	175	5678
30	176	5518
31	177	5367
32	178	5225
33	179	5092
34	180	4967
35	181	4851
36	182	4739
37	183	4645
38	187	4614
39	188	4531
40	191	4478
41	194	4432
42	195	4358
43	197	4291
44	201	4270
45	202	4200
46	203	4131
47	205	4066
48	206	4005
49	207	3942
50	208	3882
51	209	3826
52	211	3772
53	212	3726
54	215	3694
55	216	3648
56	217	3603
57	218	3555
58	220	3509
59	221	3464
60	222	3423
61	223	3381
62	224	3345
63	226	3313
64	229	3296
65	230	3264
66	232	3234
67	233	3201
68	235	3175
69	236	3146
70	238	3116
71	239	3086
72	241	3065
73	244	3060
74	246	3045
75	248	3022
76	250	3005
77	252	2984
78	254	2966
79	256	2945
80	259	2938
81	260	2917
82	261	2891
83	263	2869
84	264	2852
85	266	2831
86	267	2809
87	269	2792
88	270	2769
89	271	2748
90	273	2729
91	274	2711
92	275	2690
93	276	2669
94	278	2648
95	279	2628
96	280	2608
97	281	2590
98	282	2573
99	284	2561
100	287	2556
101	289	2550
102	291	2538
103	293	2527
104	294	2513
105	297	2509
106	299	2503
107	303	2505
108	305	2501
109	307	2487
110	309	2476
111	311	2469
112	313	2460
113	315	2450
114	318	2453
115	320	2443
116	322	2431
117	324	2423
118	325	2411
119	327	2399
120	329	2391
121	330	2380
122	334	2384
123	336	2374
124	337	2364
125	339	2352
126	340	2338
127	342	2332
128	343	2322
129	346	2319
130	348	2313
131	350	2303
132	351	2292
133	353	2283
134	354	2273
135	356	2263
136	358	2255
137	359	2245
138	362	2242
139	364	2236
140	368	2244
141	370	2237
142	372	2233
143	375	2233
144	378	2228
145	379	2219
146	380	2208
147	381	2197
148	382	2186
149	383	2175
150	385	2166
151	386	2157
152	389	2156
153	391	2153
154	393	2143
155	394	2133
156	395	2122
157	396	2112
158	397	2104
159	403	2116
160	405	2115
161	407	2107
162	409	2100
163	411	2097
164	414	2097
165	417	2096
166	419	2090
167	420	2083
168	422	2076
169	423	2069
170	426	2068
171	428	2062
172	430	2056
173	433	2058
174	436	2056
175	437	2048
176	438	2040
177	440	2031
178	441	2025
179	443	2019
180	446	2018
181	448	2016
182	451	2015
183	452	2007
184	453	1998
185	454	1990
186	456	1984
187	458	1980
188	461	1981
189	462	1973
190	466	1974
191	467	1966
192	468	1959
193	469	1952
194	471	1945
195	472	1938
196	473	1930
197	476	1928
198	477	1922
199	480	1920
200	481	1912
201	482	1905
202	483	1899
203	485	1893
204	486	1887
205	488	1881
206	492	1888
207	494	1883
208	496	1878
209	498	1874
210	499	1866
211	500	1858
212	501	1851
213	503	1847
214	506	1849
215	508	1847
216	510	1840
217	511	1833
218	512	1826
219	512	1818
220	514	1811
221	514	1804
222	515	1797
223	516	1790
224	517	1783
225	518	1776
226	520	1773
227	522	1767
228	523	1761
229	524	1754
230	525	1747
231	526	1741
232	527	1735
233	528	1728
234	528	1721
235	529	1715
236	531	1710
237	532	1704
238	533	1698
239	535	1694
240	536	1688
